transform,dataset,image_path,mse,psnr,compression_ratio,direct_compression_ratio,original_entropy,transformed_entropy,quantized_entropy,quantization_scale,encode_ms,decode_ms,error
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,40.1576,32.0931,6.04018,6.63588,6.57856,4.1728,0.496373,3.137425850000001,8238.13,3108.43,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,29.2509,33.4694,5.12999,5.92063,6.57856,4.1728,0.7657,1.8564650000000003,8588.17,3170.42,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,24.9526,34.1596,4.59681,5.51101,6.57856,4.1728,0.936656,1.4280500000000003,8737.68,3199.17,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,69.4775,29.7124,7.20552,7.47929,6.57856,4.1728,0.182615,11.649042561240504,8186.3,3096.36,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,33.771,32.8454,5.41374,6.17822,6.57856,4.1728,0.655961,2.4134045000000004,8491.73,3181.68,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,75.8388,29.3319,7.4233,7.61677,6.57856,4.1728,0.141414,15.143755329612656,8158.82,3108.85,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,63.2364,30.1211,7.06899,7.40813,6.57856,4.1728,0.207473,8.960801970185003,8314.22,3126.39,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,59.2445,30.4043,6.90052,7.29143,6.57856,4.1728,0.249925,6.892924592450003,8336.61,3113.74,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,92.9815,28.4468,7.70438,7.81726,6.57856,4.1728,0.065957,33.27083045915901,8237.24,3111.85,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,104.778,27.9281,7.81159,7.87819,6.57856,4.1728,0.0458565,56.22770347597873,8166.12,3114.81,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,113.6,27.577,7.84526,7.90829,6.57856,4.1728,0.0331935,73.09601451877235,8180.93,3097.85,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,97.0024,28.263,7.73727,7.83346,6.57856,4.1728,0.0600581,43.25207959690672,8299.89,3108.11,
SP,SquaredAerialImages,Datasets/SquaredAerialImages/10.png,83.0439,28.9377,7.53699,7.7195,6.57856,4.1728,0.100043,19.686881928496454,8353.66,3113.98,
